s.id,t.id
SPE000111,TOP000311
SPE000111,TOP000312
SPE000112,TOP000314
SPE000112,TOP000313
SPE000112,TOP000315
SPE000113,TOP000307
SPE000113,TOP000309
SPE000113,TOP000308
SPE000113,TOP000402
SPE000113,TOP000401
SPE000114,TOP000316
SPE000114,TOP000318
SPE000114,TOP000317
SPE000115,TOP000433
SPE000115,TOP000435
SPE000115,TOP000320
SPE000115,TOP000319
SPE000115,TOP000321
SPE000115,TOP000434
SPE000116,TOP000076
SPE000116,TOP000326
SPE000116,TOP000325
SPE000117,TOP000327
SPE000117,TOP000024
SPE000117,TOP000328
SPE000118,TOP000534
SPE000118,TOP000115
SPE000118,TOP000153
SPE000118,TOP000154
SPE000119,TOP000330
SPE000119,TOP000329
SPE000119,TOP000331
SPE000120,TOP000332
SPE000120,TOP000834
SPE000120,TOP000076
SPE000120,TOP000115
SPE000120,TOP000833
SPE000120,TOP000835
SPE000121,TOP000335
SPE000121,TOP000334
SPE000121,TOP000333
SPE000122,TOP000337
SPE000122,TOP000336
SPE000122,TOP000338
SPE000123,TOP000339
SPE000123,TOP000340
SPE000123,TOP000341
SPE000124,TOP000343
SPE000124,TOP000342
SPE000124,TOP000344
SPE000125,TOP000345
SPE000125,TOP000347
SPE000125,TOP000346
SPE000126,TOP000350
SPE000126,TOP000348
SPE000126,TOP000349
SPE000127,TOP000356
SPE000127,TOP000355
SPE000127,TOP000354
SPE000128,TOP000359
SPE000128,TOP000358
SPE000128,TOP000360
SPE000129,TOP000361
SPE000129,TOP000362
SPE000129,TOP000363
SPE000130,TOP000364
SPE000130,TOP000366
SPE000130,TOP000365
SPE000131,TOP000375
SPE000131,TOP000367
SPE000131,TOP000376
SPE000131,TOP000018
SPE000131,TOP000368
SPE000131,TOP000377
SPE000132,TOP000369
SPE000132,TOP000371
SPE000132,TOP000370
SPE000133,TOP000373
SPE000133,TOP000374
SPE000133,TOP000372
SPE000134,TOP000018
SPE000134,TOP000296
SPE000134,TOP000076
SPE000135,TOP000380
SPE000135,TOP000379
SPE000135,TOP000378
SPE000136,TOP000386
SPE000136,TOP000385
SPE000136,TOP000384
SPE000137,TOP000210
SPE000137,TOP000154
SPE000137,TOP000115
SPE000137,TOP000387
SPE000137,TOP000076
SPE000137,TOP000018
SPE000137,TOP000466
SPE000137,TOP000699
SPE000138,TOP000389
SPE000138,TOP000388
SPE000138,TOP000390
SPE000139,TOP000391
SPE000139,TOP000393
SPE000139,TOP000392
SPE000140,TOP000395
SPE000140,TOP000397
SPE000140,TOP000396
SPE000141,TOP000400
SPE000141,TOP000399
SPE000141,TOP000398
SPE000142,TOP000403
SPE000142,TOP000404
SPE000142,TOP000405
SPE000143,TOP000406
SPE000143,TOP000408
SPE000143,TOP000407
SPE000144,TOP000411
SPE000144,TOP000409
SPE000144,TOP000410
SPE000145,TOP000413
SPE000145,TOP000412
SPE000145,TOP000414
SPE000146,TOP000417
SPE000146,TOP000416
SPE000146,TOP000415
SPE000147,TOP000419
SPE000147,TOP000076
SPE000147,TOP000418
SPE000148,TOP000420
SPE000148,TOP000422
SPE000148,TOP000421
SPE000149,TOP000485
SPE000149,TOP000424
SPE000149,TOP000425
SPE000149,TOP000484
SPE000149,TOP000486
SPE000149,TOP000423
SPE000150,TOP000427
SPE000150,TOP000426
SPE000150,TOP000066
SPE000151,TOP000024
SPE000151,TOP000428
SPE000151,TOP000429
SPE000152,TOP000430
SPE000152,TOP000431
SPE000152,TOP000432
SPE000153,TOP000436
SPE000153,TOP000076
SPE000153,TOP000018
SPE000154,TOP000437
SPE000154,TOP000439
SPE000154,TOP000438
SPE000155,TOP000442
SPE000155,TOP000441
SPE000155,TOP000440
SPE000156,TOP000018
SPE000156,TOP000076
SPE000156,TOP000446
SPE000157,TOP000448
SPE000157,TOP000447
SPE000157,TOP000449
SPE000158,TOP000450
SPE000158,TOP000452
SPE000158,TOP000451
SPE000159,TOP000454
SPE000159,TOP000455
SPE000159,TOP000456
SPE000160,TOP000457
SPE000160,TOP000458
SPE000160,TOP000459
SPE000161,TOP000461
SPE000161,TOP000460
SPE000161,TOP000462
SPE000162,TOP000465
SPE000162,TOP000463
SPE000162,TOP000464
SPE000163,TOP000469
SPE000163,TOP000468
SPE000163,TOP000467
SPE000164,TOP000115
SPE000164,TOP000471
SPE000164,TOP000470
SPE000165,TOP000473
SPE000165,TOP000474
SPE000165,TOP000472
SPE000166,TOP000018
SPE000166,TOP000076
SPE000166,TOP000475
SPE000167,TOP000076
SPE000167,TOP000477
SPE000167,TOP000476
SPE000168,TOP000482
SPE000168,TOP000481
SPE000168,TOP000483
SPE000169,TOP000487
SPE000169,TOP000488
SPE000169,TOP000018
SPE000170,TOP000492
SPE000170,TOP000024
SPE000170,TOP000493
SPE000171,TOP000496
SPE000171,TOP000494
SPE000171,TOP000495
SPE000172,TOP000499
SPE000172,TOP000497
SPE000172,TOP000498
SPE000173,TOP000500
SPE000173,TOP000502
SPE000173,TOP000501
SPE000174,TOP000503
SPE000174,TOP000504
SPE000174,TOP000505
SPE000175,TOP000507
SPE000175,TOP000508
SPE000175,TOP000506
SPE000176,TOP000510
SPE000176,TOP000509
